Bank Group,State,Total No. of Accounts,Total Amount Outstanding ( ₹ Crores),SMALL BORROWERS No. of Accounts,SMALL BORROWERS Amount Outstanding ( ₹ Crores)
ALL SCHEDULED COMMERCIAL BANKS,Andaman and Nicobar Islands,81762,4369.6316,31225.0,263.706
ALL SCHEDULED COMMERCIAL BANKS,Andhra Pradesh,18743472,723590.9365,12461564.0,99495.6743
ALL SCHEDULED COMMERCIAL BANKS,Arunachal Pradesh,152649,9360.6797,60325.0,399.4598
ALL SCHEDULED COMMERCIAL BANKS,Assam,11889722,133893.3902,10536479.0,16484.5222
ALL SCHEDULED COMMERCIAL BANKS,Bihar,15028609,253674.0971,12711464.0,49733.9889
ALL SCHEDULED COMMERCIAL BANKS,Chandigarh,579002,90944.4152,325999.0,1067.8645
ALL SCHEDULED COMMERCIAL BANKS,Chhattisgarh,3417010,198788.6685,2208630.0,9313.7242
ALL SCHEDULED COMMERCIAL BANKS,Dadra and Nagar Haveli and Daman and Diu,149595,7500.1107,88129.0,325.3934
ALL SCHEDULED COMMERCIAL BANKS,Delhi,8078939,1841840.1884,4828976.0,11791.9967
ALL SCHEDULED COMMERCIAL BANKS,Goa,563122,31435.7963,312275.0,1708.2772
ALL SCHEDULED COMMERCIAL BANKS,Gujarat,15079508,967011.6073,9245152.0,39619.0339
ALL SCHEDULED COMMERCIAL BANKS,Haryana,8416185,570631.8127,5016973.0,19948.9601
ALL SCHEDULED COMMERCIAL BANKS,Himachal Pradesh,1197635,54902.773,611719.0,3692.1245
ALL SCHEDULED COMMERCIAL BANKS,Jammu and Kashmir,3145825,103056.2,1772431.0,8935.5068
ALL SCHEDULED COMMERCIAL BANKS,Jharkhand,5214840,134781.8178,4096601.0,15825.3289
ALL SCHEDULED COMMERCIAL BANKS,Karnataka,24115898,1201028.9173,16734295.0,77990.9141
ALL SCHEDULED COMMERCIAL BANKS,Kerala,13886037,572063.2775,9258982.0,55431.4365
ALL SCHEDULED COMMERCIAL BANKS,Ladakh,84088,4190.9087,34071.0,266.3365
ALL SCHEDULED COMMERCIAL BANKS,Lakshadweep,8204,184.9688,5550.0,47.3506
ALL SCHEDULED COMMERCIAL BANKS,Madhya Pradesh,12908665,488959.5139,8567765.0,40657.1122
ALL SCHEDULED COMMERCIAL BANKS,Maharashtra,108405127,4920181.8845,80869179.0,188381.5072
ALL SCHEDULED COMMERCIAL BANKS,Manipur,293713,12113.7846,142414.0,823.1712
ALL SCHEDULED COMMERCIAL BANKS,Meghalaya,284708,13131.5701,157964.0,872.9833
ALL SCHEDULED COMMERCIAL BANKS,Mizoram,123264,5076.208,70103.0,385.6255
ALL SCHEDULED COMMERCIAL BANKS,Nagaland,224233,9421.4461,96990.0,606.5989
ALL SCHEDULED COMMERCIAL BANKS,Odisha,9684230,252223.2284,7736091.0,32139.2287
ALL SCHEDULED COMMERCIAL BANKS,Puducherry,706605,21429.9168,490040.0,3392.1407
ALL SCHEDULED COMMERCIAL BANKS,Punjab,7372255,374997.5417,4342863.0,19639.4017
ALL SCHEDULED COMMERCIAL BANKS,Rajasthan,13604630,592777.1804,8070563.0,41066.0248
ALL SCHEDULED COMMERCIAL BANKS,Sikkim,126915,7142.0479,70055.0,348.6697
ALL SCHEDULED COMMERCIAL BANKS,Tamil Nadu,40336811,1609464.1869,29153251.0,205699.3492
ALL SCHEDULED COMMERCIAL BANKS,Telangana,14665093,899683.7603,9614975.0,61611.4732
ALL SCHEDULED COMMERCIAL BANKS,Tripura,778595,13715.97,646259.0,3103.4641
ALL SCHEDULED COMMERCIAL BANKS,Uttarakhand,1914630,95471.2412,1131210.0,5514.3852
ALL SCHEDULED COMMERCIAL BANKS,Uttar Pradesh,24688735,862070.9214,17313123.0,83656.0942
ALL SCHEDULED COMMERCIAL BANKS,West Bengal,17665494,597218.1505,13971905.0,60356.4169
ALL SCHEDULED COMMERCIAL BANKS,TOTAL,383615805,17678328.75,272785590.0,1160595.2458
