State,Population_2024,Working_Population
A & N Islands,404000,161600
Andhra Pradesh 5,3340000,1336000
Arunachal Pradesh,1576000,630400
Assam 3,6047000,2418800
Bihar,128592000,51436800
Chandigarh,1243000,497200
Chhattisgarh 3,524000,209600
Dadra & Nagar Haveli and Daman & Diu,657587,263034
Delhi 2,1752000,700800
Goa,1583000,633200
Gujarat 7,2367000,946800
Haryana 3,573000,229200
Himachal Pradesh,7505000,3002000
Jammu Kashmir 1,3701000,1480400
Karnataka 6,8115000,3246000
Kerala 3,5920000,2368000
Ladakh,302000,120800
Lakshadweep,69000,27600
Madhya Pradesh 8,7610000,3044000
Maharashtra,127360000,50944000
Manipur,3253000,1301200
Meghalaya,3379000,1351600
Mizoram,1250000,500000
Nagaland,2253000,901200
Odisha 4,6566000,2626400
Puducherry,1391163,556465
Punjab 3,926000,370400
Rajasthan 8,1897000,758800
Sikkim,695000,278000
Tamil Nadu 7,7089000,2835600
Telangana 3,8272000,3308800
Tripura,4184000,1673600
Uttar Pradesh,238078000,95231200
Uttarakhand 1,1755000,702000
West Bengal 9,9563000,3825200
