State,Population_2024,Working_Population
Andaman and Nicobar Islands,404000,161600
Andhra Pradesh,53340000,21336000
Arunachal Pradesh,1576000,630400
Assam,36047000,14418800
Bihar,128592000,51436800
Chandigarh,1243000,497200
Chhattisgarh,3524000,1409600
Dadra and Nagar Haveli and Daman and Diu,657587,263034
Delhi,21752000,8700800
Goa,1583000,633200
Gujarat,72367000,28946800
Haryana,3573000,1429200
Himachal Pradesh,7505000,3002000
Jammu and Kashmir,13701000,5480400
Jharkhand, 39963000, 15985200
Karnataka,68115000,27246000
Kerala,35920000,14368000
Ladakh,302000,120800
Lakshadweep,69000,27600
Madhya Pradesh,87610000,35044000
Maharashtra,127360000,50944000
Manipur,3253000,1301200
Meghalaya,3379000,1351600
Mizoram,1250000,500000
Nagaland,2253000,901200
Odisha,46566000,18626400
Puducherry,1391163,556465
Punjab,3926000,1570400
Rajasthan,81897000,32758800
Sikkim,695000,278000
Tamil Nadu,77089000,30835600
Telangana,38272000,15308800
Tripura,4184000,1673600
Uttar Pradesh,238078000,95231200
Uttarakhand,11755000,4702000
West Bengal,99563000,39825200
