State,Total_State_Borrowing
West Bengal,599550000000
Karnataka,580000000000
Madhya Pradesh,385000000002
Tamil Nadu,370000000001
Rajasthan,241940000000
Maharashtra,230000000004
Bihar,229999999999
Uttar Pradesh,204500000001
Andhra Pradesh,179999999998
Gujarat,175000000000
Haryana,134999999999
Telangana,130000000000
Chhattisgarh,110000000000
Jharkhand,107000000000
Punjab,103000000000
Kerala,75999999999
Assam,62000000000
Uttarakhand,60000000000
Himachal Pradesh,54000000000
Puducherry,11000000000
Manipur,5060000000
Tripura,2320000000
Mizoram,2000000000
