State,Total Amount Outstanding (₹ Crores),GDP 2023-24 (₹ Crores),Debt to GDP Ratio (%)
Andaman and Nicobar Islands,4369.6316,12365,35.34
Andhra Pradesh,723590.9365,1439674,50.26
Arunachal Pradesh,9360.6797,36373,25.74
Assam,133893.3902,570243,23.48
Bihar,253674.0971,854429,29.69
Chandigarh,90944.4152,60088,151.35
Chhattisgarh,198788.6685,505887,39.3
Delhi,1841840.1884,1107746,166.27
Goa,31435.7963,93366,33.67
Gujarat,967011.6073,2359882,40.98
Haryana,570631.8127,1095535,52.09
Himachal Pradesh,54902.773,207430,26.47
Jammu and Kashmir,103056.2,241133,42.74
Jharkhand,134781.8178,461010,29.24
Karnataka,1201028.9173,2500733,48.03
Kerala,572063.2775,1146109,49.91
Madhya Pradesh,488959.5139,1363327,35.87
Maharashtra,4920181.8845,4044251,121.66
Manipur,12113.7846,43135,28.08
Meghalaya,13131.5701,53057,24.75
Mizoram,5076.208,32906,15.43
Nagaland,9421.4461,39863,23.63
Odisha,252223.2284,853524,29.55
Puducherry,21429.9168,47902,44.74
Punjab,374997.5417,744899,50.34
Rajasthan,592777.1804,1528385,38.78
Sikkim,7142.0479,48937,14.59
Tamil Nadu,1609464.1869,2721571,59.14
Telangana,899683.7603,1501981,59.9
Tripura,13715.97,82625,16.6
Uttarakhand,95471.2412,346206,27.58
Uttar Pradesh,862070.9214,2547861,33.84
West Bengal,597218.1505,1700939,35.11
