Bank Group,State,Total No. of Accounts,Total Amount Outstanding ( ₹ Crores),SMALL BORROWERS No. of Accounts,SMALL BORROWERS Amount Outstanding ( ₹ Crores)
PRIVATE SECTOR BANKS,Andaman and Nicobar Islands,9200,304.787,6029.0,27.0411
PRIVATE SECTOR BANKS,Andhra Pradesh,4582187,157832.5577,3270573.0,12700.6941
PRIVATE SECTOR BANKS,Arunachal Pradesh,21840,682.8846,14140.0,60.1432
PRIVATE SECTOR BANKS,Assam,2088420,38715.4909,1734927.0,6635.6061
PRIVATE SECTOR BANKS,Bihar,8621542,70492.0808,8083276.0,25674.3783
PRIVATE SECTOR BANKS,Chandigarh,407430,25635.41,279657.0,774.8582
PRIVATE SECTOR BANKS,Chhattisgarh,1719907,64381.2447,1316172.0,4533.0354
PRIVATE SECTOR BANKS,Dadra and Nagar Haveli and Daman and Diu,113892,4591.522,74944.0,228.8129
PRIVATE SECTOR BANKS,Delhi,4430632,604859.2033,2900333.0,6724.2932
PRIVATE SECTOR BANKS,Goa,294901,10388.7556,199690.0,745.9767
PRIVATE SECTOR BANKS,Gujarat,8893885,488794.7836,5883412.0,18877.2897
PRIVATE SECTOR BANKS,Haryana,5324493,301073.662,3497990.0,10250.796
PRIVATE SECTOR BANKS,Himachal Pradesh,306038,10102.7876,206398.0,623.3953
PRIVATE SECTOR BANKS,Jammu and Kashmir,2708212,78368.3368,1633222.0,7876.7474
PRIVATE SECTOR BANKS,Jharkhand,2436697,36112.3668,2183942.0,6579.2412
PRIVATE SECTOR BANKS,Karnataka,12154936,489255.337,8950217.0,28828.1866
PRIVATE SECTOR BANKS,Kerala,6168451,241021.4895,4517232.0,20456.3968
PRIVATE SECTOR BANKS,Ladakh,54510,2405.9237,27904.0,207.6479
PRIVATE SECTOR BANKS,Lakshadweep,92,0.288,78.0,0.1957
PRIVATE SECTOR BANKS,Madhya Pradesh,5792909,164714.9268,4397389.0,15075.297
PRIVATE SECTOR BANKS,Maharashtra,93915526,2478550.6017,71745660.0,129459.2564
PRIVATE SECTOR BANKS,Manipur,83818,1300.1868,67949.0,243.4118
PRIVATE SECTOR BANKS,Meghalaya,79927,2295.5304,63950.0,238.2747
PRIVATE SECTOR BANKS,Mizoram,49644,792.2748,41873.0,162.8678
PRIVATE SECTOR BANKS,Nagaland,37250,916.4059,27947.0,125.9945
PRIVATE SECTOR BANKS,Odisha,4899393,70106.6104,4358652.0,12700.8526
PRIVATE SECTOR BANKS,Puducherry,229062,7874.9066,156755.0,746.7855
PRIVATE SECTOR BANKS,Punjab,4179991,162612.0625,2960923.0,8337.9963
PRIVATE SECTOR BANKS,Rajasthan,6292183,238171.8442,4467982.0,15908.6073
PRIVATE SECTOR BANKS,Sikkim,59731,1185.2737,46713.0,178.8158
PRIVATE SECTOR BANKS,Tamil Nadu,14789960,657692.2005,10764423.0,51486.6943
PRIVATE SECTOR BANKS,Telangana,6844548,349504.1943,4500574.0,15981.0862
PRIVATE SECTOR BANKS,Tripura,440256,3872.3641,412826.0,1854.4955
PRIVATE SECTOR BANKS,Uttarakhand,889811,34483.6843,646408.0,2281.1789
PRIVATE SECTOR BANKS,Uttar Pradesh,11205216,311934.8977,9066905.0,29301.4576
PRIVATE SECTOR BANKS,West Bengal,10788259,232562.8989,9554113.0,34990.7559
PRIVATE SECTOR BANKS,TOTAL,220914749,7343589.7752,168061178.0,470878.5639
