Bank Group,State,Total No. of Accounts,Total Amount Outstanding ( ₹ Crores),SMALL BORROWERS No. of Accounts,SMALL BORROWERS Amount Outstanding ( ₹ Crores)
PUBLIC SECTOR BANKS,Andaman and Nicobar Islands,72562,4064.8446,25196.0,236.6649
PUBLIC SECTOR BANKS,Andhra Pradesh,13843270,559805.8654,8930019.0,85905.2305
PUBLIC SECTOR BANKS,Arunachal Pradesh,129491,8666.2896,44933.0,333.5197
PUBLIC SECTOR BANKS,Assam,2057976,91198.9472,1067557.0,6764.0089
PUBLIC SECTOR BANKS,Bihar,4185789,174136.5986,2418221.0,16419.3719
PUBLIC SECTOR BANKS,Chandigarh,148315,63646.6683,30694.0,231.0672
PUBLIC SECTOR BANKS,Chhattisgarh,1237447,129936.0783,474092.0,3341.236
PUBLIC SECTOR BANKS,Dadra and Nagar Haveli and Daman and Diu,35703,2908.5887,13185.0,96.5805
PUBLIC SECTOR BANKS,Delhi,1926852,1074548.7062,935464.0,2941.8651
PUBLIC SECTOR BANKS,Goa,262303,20903.5789,109416.0,947.6438
PUBLIC SECTOR BANKS,Gujarat,4774863,443588.7755,2132876.0,16319.0882
PUBLIC SECTOR BANKS,Haryana,2379874,220780.7778,887818.0,7265.8876
PUBLIC SECTOR BANKS,Himachal Pradesh,858192,43871.8437,386081.0,2966.8101
PUBLIC SECTOR BANKS,Jammu and Kashmir,431803,24538.6467,136473.0,1038.0627
PUBLIC SECTOR BANKS,Jharkhand,2191577,95874.6648,1328981.0,7282.1528
PUBLIC SECTOR BANKS,Karnataka,8994525,624107.1265,5038353.0,40080.5458
PUBLIC SECTOR BANKS,Kerala,6485392,321620.3667,3559561.0,30047.6097
PUBLIC SECTOR BANKS,Ladakh,29578,1784.985,6167.0,58.6886
PUBLIC SECTOR BANKS,Lakshadweep,8112,184.6808,5472.0,47.1549
PUBLIC SECTOR BANKS,Madhya Pradesh,5550678,303714.4484,2803399.0,21143.0021
PUBLIC SECTOR BANKS,Maharashtra,10372697,2160835.5336,5790912.0,47360.6333
PUBLIC SECTOR BANKS,Manipur,207277,10784.1433,71990.0,556.3749
PUBLIC SECTOR BANKS,Meghalaya,193200,10779.5956,82874.0,591.7411
PUBLIC SECTOR BANKS,Mizoram,72003,4267.5386,26745.0,211.4178
PUBLIC SECTOR BANKS,Nagaland,186328,8496.7117,68530.0,476.4578
PUBLIC SECTOR BANKS,Odisha,3637815,177578.3246,2239396.0,15905.5037
PUBLIC SECTOR BANKS,Puducherry,373601,12518.6261,237831.0,2276.3758
PUBLIC SECTOR BANKS,Punjab,2817919,197910.1008,1132648.0,10310.277
PUBLIC SECTOR BANKS,Rajasthan,5475321,318464.8034,2258705.0,20107.4878
PUBLIC SECTOR BANKS,Sikkim,63975,5940.738,20161.0,154.5654
PUBLIC SECTOR BANKS,Tamil Nadu,21570979,867802.2406,14834240.0,141031.6501
PUBLIC SECTOR BANKS,Telangana,7384004,525895.12,4761367.0,44315.1758
PUBLIC SECTOR BANKS,Tripura,245987,9381.9443,142155.0,938.8724
PUBLIC SECTOR BANKS,Uttarakhand,915055,59935.339,379121.0,2892.3467
PUBLIC SECTOR BANKS,Uttar Pradesh,11325985,528209.8448,6144328.0,47580.2368
PUBLIC SECTOR BANKS,West Bengal,5630442,346923.0718,3210895.0,21091.7732
PUBLIC SECTOR BANKS,TOTAL,126076890,9455606.1579,71735856.0,599267.0806
