Bank Group,State,Total No. of Accounts,Total Amount Outstanding ( ₹ Crores),SMALL BORROWERS No. of Accounts,SMALL BORROWERS Amount Outstanding ( ₹ Crores)
SMALL FINANCE BANKS,Andhra Pradesh,299419,4685.9109,252279.0,793.5503
SMALL FINANCE BANKS,Arunachal Pradesh,1318,11.5055,1252.0,5.7969
SMALL FINANCE BANKS,Assam,7742947,3480.9429,7733916.0,3084.5332
SMALL FINANCE BANKS,Bihar,2221206,9044.5749,2209929.0,7640.076
SMALL FINANCE BANKS,Chandigarh,14296,515.004,11149.0,48.2179
SMALL FINANCE BANKS,Chhattisgarh,459607,4447.1721,418355.0,1439.3898
SMALL FINANCE BANKS,Delhi,223958,10803.2938,164736.0,785.1003
SMALL FINANCE BANKS,Goa,5918,143.4618,3169.0,14.6567
SMALL FINANCE BANKS,Gujarat,1379336,18845.9801,1214743.0,4370.539
SMALL FINANCE BANKS,Haryana,702664,10335.3462,629254.0,2423.1234
SMALL FINANCE BANKS,Himachal Pradesh,33405,928.1417,19240.0,101.9191
SMALL FINANCE BANKS,Jammu and Kashmir,5810,149.2165,2736.0,20.6967
SMALL FINANCE BANKS,Jharkhand,586531,2786.5405,583671.0,1963.8942
SMALL FINANCE BANKS,Karnataka,2788519,19424.7774,2661658.0,8631.9097
SMALL FINANCE BANKS,Kerala,1228210,7498.4858,1180420.0,4919.6238
SMALL FINANCE BANKS,Madhya Pradesh,1556732,19725.8254,1362163.0,4419.4957
SMALL FINANCE BANKS,Maharashtra,2504556,35931.9806,2214810.0,7966.6479
SMALL FINANCE BANKS,Manipur,2618,29.4545,2475.0,23.3845
SMALL FINANCE BANKS,Meghalaya,11581,56.4441,11140.0,42.9675
SMALL FINANCE BANKS,Mizoram,1617,16.3946,1485.0,11.3399
SMALL FINANCE BANKS,Nagaland,655,8.3285,513.0,4.1466
SMALL FINANCE BANKS,Odisha,1146026,4516.097,1137301.0,3530.3841
SMALL FINANCE BANKS,Puducherry,101360,907.5839,94099.0,355.2314
SMALL FINANCE BANKS,Punjab,373027,12530.4434,248996.0,990.1956
SMALL FINANCE BANKS,Rajasthan,1826640,34817.4829,1338592.0,5030.7411
SMALL FINANCE BANKS,Sikkim,3209,16.0362,3181.0,15.2885
SMALL FINANCE BANKS,Tamil Nadu,3750454,33816.4966,3442360.0,12291.3567
SMALL FINANCE BANKS,Telangana,357592,7778.9372,321916.0,1116.1635
SMALL FINANCE BANKS,Tripura,92352,461.6616,91278.0,310.0962
SMALL FINANCE BANKS,Uttarakhand,109729,770.77,105681.0,340.8596
SMALL FINANCE BANKS,Uttar Pradesh,2149830,13410.7177,2098923.0,6762.1401
SMALL FINANCE BANKS,West Bengal,1201210,6455.682,1184343.0,4189.6365
SMALL FINANCE BANKS,TOTAL,32882332,264350.6903,30745763.0,83643.1024
