City,Category
Mumbai,Tier-1
Delhi,Tier-1
Bengaluru,Tier-1
Hyderabad,Tier-1
Ahmedabad,Tier-1
Chennai,Tier-1
Kolkata,Tier-1
Surat,Tier-2
Pune,Tier-1
Jaipur,Tier-2
Lucknow,Tier-2
Kanpur,Tier-2
Nagpur,Tier-2
Indore,Tier-2
Thane,Tier-3
Bhopal,Tier-2
Visakhapatnam,Tier-2
Pimpri-Chinchwad,Tier-2
Patna,Tier-2
Vadodara,Tier-2
Ghaziabad,Tier-2
Ludhiana,Tier-2
Agra,Tier-2
Nashik,Tier-2
Faridabad,Tier-2
Meerut,Tier-2
Rajkot,Tier-2
Kalyan-Dombivli,Tier-3
Vasai-Virar,Tier-2
Varanasi,Tier-2
Srinagar,Tier-2
Aurangabad,Tier-2
Dhanbad,Tier-2
Amritsar,Tier-2
Navi Mumbai,Tier-3
Prayagraj,Tier-2
Howrah,Tier-3
Ranchi,Tier-2
Jabalpur,Tier-2
Gwalior,Tier-2
Coimbatore,Tier-2
Vijayawada,Tier-2
Jodhpur,Tier-2
Madurai,Tier-2
Raipur,Tier-2
Kota,Tier-2
Guwahati,Tier-2
Chandigarh,Tier-2
Solapur,Tier-2
Hubli-Dharwad,Tier-3
Tiruchirappalli,Tier-2
Tiruppur,Tier-3
Moradabad,Tier-2
Mysore,Tier-3
Bareilly,Tier-2
Gurgaon,Tier-2
Aligarh,Tier-2
Jalandhar,Tier-2
Bhubaneswar,Tier-2
Salem,Tier-2
Mira-Bhayandar,Tier-3
Warangal,Tier-2
Thiruvananthapuram,Tier-2
Guntur,Tier-2
Bhiwandi,Tier-2
Saharanpur,Tier-2
Gorakhpur,Tier-2
Bikaner,Tier-2
Amravati,Tier-2
Noida,Tier-2
Jamshedpur,Tier-2
Bhilai,Tier-2
Cuttack,Tier-2
Firozabad,Tier-3
Kochi,Tier-2
Nellore,Tier-2
Bhavnagar,Tier-2
Dehradun,Tier-2
Durgapur,Tier-2
Asansol,Tier-2
Nanded,Tier-2
Kolhapur,Tier-2
Ajmer,Tier-2
Gulbarga,Tier-3
Jamnagar,Tier-2
Ujjain,Tier-2
Loni,Tier-3
Siliguri,Tier-2
Jhansi,Tier-2
Ulhasnagar,Tier-3
Jammu,Tier-2
Sangli-Miraj & Kupwad,Tier-3
Mangalore,Tier-3
Erode,Tier-2
Belgaum,Tier-3
Ambattur,Tier-3
Tirunelveli,Tier-2
Malegaon,Tier-3
Gaya,Tier-3
Jalgaon,Tier-2
Udaipur,Tier-3
Maheshtala,Tier-3
Davanagere,Tier-3
Kozhikode,Tier-2
Kurnool,Tier-2
Akola,Tier-3
Rajpur Sonarpur,Tier-3
Rajahmundry,Tier-3
Bokaro,Tier-3
South Dumdum,Tier-3
Bellary,Tier-2
Patiala,Tier-3
Gopalpur,Tier-3
Agartala,Tier-3
Bhagalpur,Tier-3
Muzaffarnagar,Tier-3
Bhatpara,Tier-3
Panihati,Tier-3
Latur,Tier-3
Dhule,Tier-3
Tirupati,Tier-3
Rohtak,Tier-3
Korba,Tier-3
Bhilwara,Tier-3
Berhampur,Tier-2
Muzaffarpur,Tier-3
Ahmednagar,Tier-3
Mathura,Tier-2
Kollam,Tier-2
Avadi,Tier-3
Kadapa,Tier-3
Kamarhati,Tier-3
Bilaspur,Tier-2
Shahjahanpur,Tier-3
Bijapur,Tier-3
Rampur,Tier-3
Shivamogga,Tier-3
Chandrapur,Tier-3
Junagadh,Tier-3
Thrissur,Tier-2
Alwar,Tier-3
Bardhaman,Tier-2
Kulti,Tier-3
Kakinada,Tier-2
Nizamabad,Tier-3
Parbhani,Tier-3
Tumkur,Tier-3
Khammam,Tier-3
Ozhukarai,Tier-3
Bihar Sharif,Tier-3
Panipat,Tier-3
Darbhanga,Tier-3
Bally,Tier-3
Aizawl,Tier-3
Dewas,Tier-3
Ichalkaranji,Tier-3
Karnal,Tier-2
Bathinda,Tier-3
Jalna,Tier-3
Eluru,Tier-3
Kirari Suleman Nagar,Tier-3
Barasat,Tier-3
Purnia,Tier-3
Satna,Tier-3
Mau,Tier-3
Sonipat,Tier-3
Farrukhabad,Tier-3
Sagar,Tier-3
Rourkela,Tier-2
Durg,Tier-3
Imphal,Tier-3
Ratlam,Tier-2
Hapur,Tier-3
Arrah,Tier-3
Karimnagar,Tier-3
Anantapur,Tier-3
Etawah,Tier-3
Ambarnath,Tier-3
North Dumdum,Tier-3
Bharatpur,Tier-3
Begusarai,Tier-3
New Delhi,Tier-3
Gandhidham,Tier-3
Baranagar,Tier-3
Tiruvottiyur,Tier-3
Puducherry,Tier-2
Sikar,Tier-3
Thoothukudi,Tier-3
Rewa,Tier-3
Mirzapur,Tier-3
Raichur,Tier-2
Pali,Tier-3
Ramagundam,Tier-3
Haridwar,Tier-3
Vijayanagaram,Tier-3
Katihar,Tier-3
Nagarcoil,Tier-3
Sri Ganganagar,Tier-3
Karawal Nagar,Tier-3
Mango,Tier-3
Thanjavur,Tier-2
Bulandshahr,Tier-3
Uluberia,Tier-3
Murwara,Tier-3
Sambhal,Tier-3
Singrauli,Tier-3
Nadiad,Tier-2
Secunderabad,Tier-3
Naihati,Tier-3
Yamunanagar,Tier-3
Bidhan Nagar,Tier-3
Pallavaram,Tier-3
Bidar,Tier-3
Munger,Tier-3
Panchkula,Tier-3
Burhanpur,Tier-3
Raurkela Industrial Township,Tier-3
Kharagpur,Tier-3
Dindigul,Tier-3
Gandhinagar,Tier-3
Hospet,Tier-3
Nangloi Jat,Tier-3
Malda,Tier-3
Ongole,Tier-3
Deoghar,Tier-3
Chapra,Tier-3
Haldia,Tier-3
Khandwa,Tier-3
Nandyal,Tier-3
Chittoor,Tier-3
Morena,Tier-3
Amroha,Tier-3
Anand,Tier-2
Bhind,Tier-3
Bhalswa Jahangir Pur,Tier-3
Madhyamgram,Tier-3
Bhiwani,Tier-3
Baharampur,Tier-3
Ambala,Tier-3
Morvi,Tier-3
Fatehpur,Tier-3
Rae Bareli,Tier-3
Khora,Tier-3
Bhusawal,Tier-3
Orai,Tier-3
Bahraich,Tier-3
Vellore,Tier-2
Mahesana,Tier-3
Sambalpur,Tier-3
Raiganj,Tier-3
Sirsa,Tier-3
Danapur,Tier-3
Serampore,Tier-3
Sultan Pur Majra,Tier-3
Guna,Tier-3
Jaunpur,Tier-3
Panvel,Tier-3
Shivpuri,Tier-3
Surendranagar Dudhrej,Tier-3
Unnao,Tier-3
Hugli-Chuchura,Tier-3
Badlapur,Tier-3
Alappuzha,Tier-3
Kottayam,Tier-3
Gadag-Betageri,Tier-3
Machilipatnam,Tier-3
Shimla,Tier-2
Adoni,Tier-3
Tenali,Tier-3
Proddatur,Tier-3
Saharsa,Tier-3
Hindupur,Tier-3
Sasaram,Tier-3
Hajipur,Tier-3
Beed,Tier-3
Bhimavaram,Tier-3
Dehri,Tier-3
Madanapalle,Tier-3
Siwan,Tier-3
Bettiah,Tier-3
Gondia,Tier-3
Guntakal,Tier-3
Srikakulam,Tier-3
Motihari,Tier-3
Dharmavaram,Tier-3
Satara,Tier-3
Barshi,Tier-3
Gudivada,Tier-3
Yavatmal,Tier-3
Narasaraopet,Tier-3
Bagaha,Tier-3
Achalpur,Tier-3
Osmanabad,Tier-3
