City,State,City Total Amount Outstanding ( ₹ Crores),Number of Loan Accounts
Delhi,Delhi,1642186,7203189
Mumbai,Maharashtra,1578929,34788149
Bengaluru,Karnataka,703307,14121957
Hyderabad,Telangana,673332,10975491
Chennai,Tamil Nadu,584082,14638409
Eluru,Andhra Pradesh,546302,14151084
Pune,Maharashtra,396492,8735803
Ahmedabad,Gujarat,339763,5298236
Nagpur,Maharashtra,305277,6726099
Surat,Gujarat,272142,4243761
Thane,Maharashtra,233684,5148693
Pimpri-Chinchwad,Maharashtra,219243,4830528
Jaipur,Rajasthan,216420,4966990
Kolkata,West Bengal,192869,5704990
Nashik,Maharashtra,188579,4154918
Faridabad,Haryana,178362,2630640
Kalyan-Dombivli,Maharashtra,158285,3487453
Vasai-Virar,Maharashtra,155121,3417731
Thiruvananthapuram,Kerala,153859,3734715
Aurangabad,Maharashtra,149121,3285554
Navi Mumbai,Maharashtra,142197,3132986
Ludhiana,Punjab,141035,2772672
Guwahati,Assam,133893,11889722
Coimbatore,Tamil Nadu,132073,3310046
Madurai,Tamil Nadu,127943,3206536
Kochi,Kerala,123002,2985698
Solapur,Maharashtra,120696,2659270
Tiruchirappalli,Tamil Nadu,115223,2887759
Tiruppur,Tamil Nadu,112897,2829458
Gurgaon,Haryana,110599,1631207
Indore,Madhya Pradesh,105284,2779526
Salem,Tamil Nadu,104459,2617985
Mira-Bhayandar,Maharashtra,103379,2277726
Lucknow,Uttar Pradesh,102964,2948776
Vadodara,Gujarat,101772,1587024
Kanpur,Uttar Pradesh,101072,2894600
Amritsar,Punjab,98652,1939446
Bhopal,Madhya Pradesh,96393,2544794
Chandigarh,Chandigarh,90944,579002
Bhiwandi,Maharashtra,90267,1988835
Kozhikode,Kerala,88349,2144557
Bhubaneswar,Odisha,85646,3288410
Amravati,Maharashtra,82079,1808417
Hubli-Dharwad,Karnataka,78618,1578591
Rajkot,Gujarat,78374,1222158
Warangal,Telangana,78167,1274139
Raipur,Chhattisgarh,77311,1328904
Jalandhar,Punjab,75114,1476693
Mysore,Karnataka,73919,1484243
Jodhpur,Rajasthan,73445,1685614
Srinagar,Jammu and Kashmir,72237,2205044
Kollam,Kerala,71366,1732300
Kota,Rajasthan,71167,1633334
Nanded,Maharashtra,69866,1539345
Kolhapur,Maharashtra,69704,1535764
Dehradun,Uttarakhand,68408,1371890
Patna,Bihar,64586,3826289
Thrissur,Kerala,64529,1566346
Ulhasnagar,Maharashtra,64330,1417367
Sangli-Miraj & Kupwad,Maharashtra,63792,1405511
Erode,Tamil Nadu,62613,1569236
Cuttack,Odisha,61955,2378786
Ghaziabad,Uttar Pradesh,60257,1725701
Ambattur,Tamil Nadu,60100,1506246
Malegaon,Maharashtra,59770,1316905
Tirunelveli,Tamil Nadu,59535,1492079
Jalgaon,Maharashtra,58433,1287442
Agra,Uttar Pradesh,57957,1659819
Jabalpur,Madhya Pradesh,56581,1493753
Gwalior,Madhya Pradesh,56522,1492190
Shimla,Himachal Pradesh,54903,1197635
Akola,Maharashtra,54036,1190558
Latur,Maharashtra,48571,1070158
Bhilai,Chhattisgarh,47874,822906
Dhule,Maharashtra,47726,1051533
Meerut,Uttar Pradesh,47713,1366444
Rohtak,Haryana,47065,694161
Howrah,West Bengal,46197,1366492
Bikaner,Rajasthan,46024,1056291
Ahmednagar,Maharashtra,44530,981110
Gulbarga,Karnataka,44315,889815
Varanasi,Uttar Pradesh,43804,1254507
Avadi,Tamil Nadu,43328,1085897
Dhanbad,Jharkhand,42253,1634817
Kirari Suleman Nagar,Delhi,42057,184476
Mangalore,Karnataka,41604,835385
Chandrapur,Maharashtra,40739,897600
Belgaum,Karnataka,40672,816664
Prayagraj,Uttar Pradesh,40663,1164543
Ranchi,Jharkhand,39017,1509590
Parbhani,Maharashtra,38982,858888
Ajmer,Rajasthan,38549,884716
New Delhi,Delhi,37205,163195
Panipat,Haryana,37103,547223
Ichalkaranji,Maharashtra,36492,804028
Berhampur,Odisha,36377,1396727
Davanagere,Karnataka,36244,727747
Jalna,Maharashtra,36211,797820
Karnal,Haryana,36198,533875
Bhavnagar,Gujarat,36167,563993
Alappuzha,Kerala,35611,864400
Kottayam,Kerala,35348,858022
Patiala,Punjab,35297,693929
Sonipat,Haryana,34946,515418
Bellary,Karnataka,34121,685126
Karawal Nagar,Delhi,33435,146659
Visakhapatnam,Andhra Pradesh,33283,862156
Moradabad,Uttar Pradesh,32522,931399
Jamnagar,Gujarat,32241,502766
Ambarnath,Maharashtra,32233,710177
Udaipur,Rajasthan,32094,736586
Bareilly,Uttar Pradesh,32082,918805
Aligarh,Uttar Pradesh,31892,913359
Tiruvottiyur,Tamil Nadu,31180,781452
Jammu,Jammu and Kashmir,30820,940781
Nangloi Jat,Delhi,30597,134209
Nizamabad,Telangana,29893,487258
Thoothukudi,Tamil Nadu,29837,747788
Khammam,Telangana,29366,478679
Bhalswa Jahangir Pur,Delhi,29340,128695
Nagarcoil,Tamil Nadu,28263,708334
Thanjavur,Tamil Nadu,28023,702330
Rourkela,Odisha,27932,1072474
Korba,Chhattisgarh,27790,477688
Ujjain,Madhya Pradesh,27618,729120
Yamunanagar,Haryana,27331,403098
Bijapur,Karnataka,27184,545835
Pallavaram,Tamil Nadu,27077,678617
Haridwar,Uttarakhand,27063,542740
Sultan Pur Majra,Delhi,27019,118516
Shivamogga,Karnataka,26856,539257
Panchkula,Haryana,26659,393196
Dindigul,Tamil Nadu,26061,653135
Saharanpur,Uttar Pradesh,25707,736219
Bhilwara,Rajasthan,25578,587022
Tumkur,Karnataka,25473,511483
Bilaspur,Chhattisgarh,25257,434150
Karimnagar,Telangana,25120,409465
Bathinda,Punjab,24900,489516
Bhiwani,Haryana,24730,364735
Ambala,Haryana,24616,363055
Gorakhpur,Uttar Pradesh,24527,702413
Durgapur,West Bengal,24317,719278
Asansol,West Bengal,24212,716175
Bhusawal,Maharashtra,23784,524019
Noida,Uttar Pradesh,23479,672406
Vellore,Tamil Nadu,23355,585329
Sirsa,Haryana,23024,339577
Jamshedpur,Jharkhand,22949,887905
Panvel,Maharashtra,22844,503324
Alwar,Rajasthan,22402,514135
Ramagundam,Telangana,22111,360413
Badlapur,Maharashtra,22109,487126
Firozabad,Uttar Pradesh,22069,632019
Siliguri,West Bengal,21862,646672
Raurkela Industrial Township,Odisha,21502,825566
Secunderabad,Telangana,20981,341997
Durg,Chhattisgarh,20557,353362
Vijayawada,Andhra Pradesh,19922,516037
Junagadh,Gujarat,19507,304191
Raichur,Karnataka,19362,388780
Maheshtala,West Bengal,19276,570186
Sambalpur,Odisha,18811,722266
Loni,Uttar Pradesh,18724,536241
Beed,Maharashtra,18617,410190
Jhansi,Uttar Pradesh,18541,531004
Rajpur Sonarpur,West Bengal,18178,537686
Bharatpur,Rajasthan,17912,411083
Bidar,Karnataka,17856,358536
Gaya,Bihar,17772,1052893
South Dumdum,West Bengal,17608,520835
Gopalpur,West Bengal,17371,513814
Hospet,Karnataka,17172,344811
Sikar,Rajasthan,16879,387391
Gondia,Maharashtra,16854,371336
Bhatpara,West Bengal,16748,495389
Panihati,West Bengal,16450,486576
Pali,Rajasthan,16338,374960
Sri Ganganagar,Rajasthan,15969,366509
Dewas,Madhya Pradesh,15515,409605
Bhagalpur,Bihar,15268,904509
Satara,Maharashtra,15253,336060
Gandhidham,Gujarat,15149,236234
Barshi,Maharashtra,15066,331942
Bokaro,Jharkhand,15046,582127
Satna,Madhya Pradesh,15023,396601
Yavatmal,Maharashtra,14790,325868
Sagar,Madhya Pradesh,14653,386848
Kamarhati,West Bengal,14436,427021
Muzaffarnagar,Uttar Pradesh,14344,410794
Gadag-Betageri,Karnataka,14327,287668
Guntur,Andhra Pradesh,14317,370856
Achalpur,Maharashtra,14252,314016
Ratlam,Madhya Pradesh,14195,374752
Osmanabad,Maharashtra,14190,312655
Nandurbar,Maharashtra,14091,310454
Agartala,Tripura,13716,778595
Wardha,Maharashtra,13508,297612
Bardhaman,West Bengal,13495,399183
Muzaffarpur,Bihar,13492,799319
Kulti,West Bengal,13467,398346
Karaikudi,Tamil Nadu,13414,336176
Nadiad,Gujarat,13285,207159
Udgir,Maharashtra,13140,289518
Hinganghat,Maharashtra,12919,284639
Mathura,Uttar Pradesh,12768,365664
Rewa,Madhya Pradesh,12620,333164
Gandhinagar,Gujarat,12558,195828
Bally,West Bengal,12523,370428
Barasat,West Bengal,12157,359607
Imphal,Manipur,12114,293713
Anand,Gujarat,12078,188339
Shahjahanpur,Uttar Pradesh,11987,343304
Rampur,Uttar Pradesh,11888,340450
Morvi,Gujarat,11875,185172
Ozhukarai,Puducherry,11867,391289
Singrauli,Madhya Pradesh,11807,311703
Nellore,Andhra Pradesh,11573,299771
Bihar Sharif,Bihar,11385,674484
Burhanpur,Madhya Pradesh,11304,298440
Darbhanga,Bihar,11279,668184
Mahesana,Gujarat,11268,175715
North Dumdum,West Bengal,10878,321775
Surendranagar Dudhrej,Gujarat,10833,168933
Khandwa,Madhya Pradesh,10760,284080
Purnia,Bihar,10758,637360
Morena,Madhya Pradesh,10747,283716
Baranagar,West Bengal,10657,315230
Bhind,Madhya Pradesh,10591,279618
Miryalaguda,Telangana,10581,172466
Mau,Uttar Pradesh,10200,292104
Suryapet,Telangana,10134,165185
Farrukhabad,Uttar Pradesh,10079,288638
Arrah,Bihar,10012,593178
Guna,Madhya Pradesh,9699,256055
Shivpuri,Madhya Pradesh,9648,254699
Begusarai,Bihar,9630,570542
Hapur,Uttar Pradesh,9605,275084
Puducherry,Puducherry,9563,315316
Uluberia,West Bengal,9532,281957
Etawah,Uttar Pradesh,9387,268843
Naihati,West Bengal,9346,276452
Bidhan Nagar,West Bengal,9244,273424
Kharagpur,West Bengal,8904,263389
Malda,West Bengal,8815,260747
Katihar,Bihar,8666,513396
Haldia,West Bengal,8614,254791
Mirzapur,Uttar Pradesh,8541,244613
Madhyamgram,West Bengal,8412,248827
Baharampur,West Bengal,8373,247680
Kurnool,Andhra Pradesh,8286,214632
Munger,Bihar,8180,484591
Mango,Jharkhand,8135,314742
Bulandshahr,Uttar Pradesh,8133,232920
Murwara,Uttar Pradesh,8110,232254
Rajahmundry,Andhra Pradesh,8086,209445
Sambhal,Uttar Pradesh,8071,231134
Raiganj,West Bengal,7875,232949
Serampore,West Bengal,7799,230704
Chapra,Bihar,7760,459712
Hugli-Chuchura,West Bengal,7603,224890
Deoghar,Jharkhand,7383,285659
Amroha,Uttar Pradesh,7254,207748
Tirupati,Andhra Pradesh,7208,186717
Fatehpur,Uttar Pradesh,7061,202222
Danapur,Bihar,6996,414450
Rae Bareli,Uttar Pradesh,6993,200258
Khora,Uttar Pradesh,6945,198885
Orai,Uttar Pradesh,6840,195883
Bahraich,Uttar Pradesh,6806,194928
Kadapa,Andhra Pradesh,6607,171148
Jaunpur,Uttar Pradesh,6592,188792
Unnao,Uttar Pradesh,6493,185962
Kakinada,Andhra Pradesh,6278,162633
Saharsa,Bihar,5951,352533
Sasaram,Bihar,5652,334861
Hajipur,Bihar,5642,334246
Dehri,Bihar,5256,311395
Siwan,Bihar,5156,305466
Bettiah,Bihar,5096,301918
Aizawl,Mizoram,5076,123264
Anantapur,Andhra Pradesh,5027,130214
Motihari,Bihar,4800,284398
Vijayanagaram,Andhra Pradesh,4392,113761
Bagaha,Bihar,4334,256746
Kishanganj,Bihar,4106,243260
Jamalpur,Bihar,4035,239046
Ongole,Andhra Pradesh,3943,102147
Buxar,Bihar,3934,233069
Jehanabad,Bihar,3929,232764
Nandyal,Andhra Pradesh,3862,100037
Chittoor,Andhra Pradesh,3646,94457
Machilipatnam,Andhra Pradesh,3272,84759
Adoni,Andhra Pradesh,3207,83084
Tenali,Andhra Pradesh,3177,82286
Proddatur,Andhra Pradesh,3134,81178
Hindupur,Andhra Pradesh,2924,75749
Bhimavaram,Andhra Pradesh,2740,70983
Madanapalle,Andhra Pradesh,2613,67685
Guntakal,Andhra Pradesh,2432,62996
Srikakulam,Andhra Pradesh,2426,62831
Dharmavaram,Andhra Pradesh,2347,60803
Gudivada,Andhra Pradesh,2276,58953
Narasaraopet,Andhra Pradesh,2239,57997
Tadipatri,Andhra Pradesh,2083,53966
Kavali,Andhra Pradesh,2003,51885
Tadepalligudem,Andhra Pradesh,2001,51838
Amaravati,Andhra Pradesh,1984,51386
